;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/20/2014 11:28:01 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0120	0xFBB1    	BST        R27, 1
0x0122	0xB3B2    	IN         R27, PORTD+0
0x0124	0xF9B3    	BLD        R27, 3
0x0126	0xBBB2    	OUT        PORTD+0, R27
0x0128	0xB3B2    	IN         R27, PORTD+0
0x012A	0xFBB3    	BST        R27, 3
0x012C	0xB3B2    	IN         R27, PORTD+0
0x012E	0xF9B0    	BLD        R27, 0
0x0130	0xBBB2    	OUT        PORTD+0, R27
0x0132	0xB3B2    	IN         R27, PORTD+0
0x0134	0x60B4    	SBR        R27, 4
0x0136	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,23 :: 		delay_ms(1000);
0x0138	0xE229    	LDI        R18, 41
0x013A	0xE916    	LDI        R17, 150
0x013C	0xE800    	LDI        R16, 128
L_main11:
0x013E	0x950A    	DEC        R16
0x0140	0xF7F1    	BRNE       L_main11
0x0142	0x951A    	DEC        R17
0x0144	0xF7E1    	BRNE       L_main11
0x0146	0x952A    	DEC        R18
0x0148	0xF7D1    	BRNE       L_main11
;stepper motor.c,14 :: 		for(i=0;i<12;i++)
0x014A	0x8108    	LDD        R16, Y+0
0x014C	0x5F0F    	SUBI       R16, 255
0x014E	0x8308    	STD        Y+0, R16
;stepper motor.c,24 :: 		}                                       //motor will move anticlockwise
0x0150	0xCF94    	RJMP       L_main2
L_main3:
;stepper motor.c,25 :: 		for(i=0;i<12;i++)
0x0152	0xE0B0    	LDI        R27, 0
0x0154	0x83B8    	STD        Y+0, R27
L_main13:
0x0156	0x8108    	LDD        R16, Y+0
0x0158	0x300C    	CPI        R16, 12
0x015A	0xF008    	BRLO       L__main26
0x015C	0xC068    	RJMP       L_main14
L__main26:
;stepper motor.c,27 :: 		m1=m2=m3=0;m4=1;
0x015E	0xB3B2    	IN         R27, PORTD+0
0x0160	0x7FBD    	CBR        R27, 2
0x0162	0xBBB2    	OUT        PORTD+0, R27
0x0164	0xB3B2    	IN         R27, PORTD+0
0x0166	0xFBB1    	BST        R27, 1
0x0168	0xB3B2    	IN         R27, PORTD+0
0x016A	0xF9B3    	BLD        R27, 3
0x016C	0xBBB2    	OUT        PORTD+0, R27
0x016E	0xB3B2    	IN         R27, PORTD+0
0x0170	0xFBB3    	BST        R27, 3
0x0172	0xB3B2    	IN         R27, PORTD+0
0x0174	0xF9B0    	BLD        R27, 0
0x0176	0xBBB2    	OUT        PORTD+0, R27
0x0178	0xB3B2    	IN         R27, PORTD+0
0x017A	0x60B4    	SBR        R27, 4
0x017C	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,28 :: 		delay_ms(1000);
0x017E	0xE229    	LDI        R18, 41
0x0180	0xE916    	LDI        R17, 150
0x0182	0xE800    	LDI        R16, 128
L_main16:
0x0184	0x950A    	DEC        R16
0x0186	0xF7F1    	BRNE       L_main16
0x0188	0x951A    	DEC        R17
0x018A	0xF7E1    	BRNE       L_main16
0x018C	0x952A    	DEC        R18
0x018E	0xF7D1    	BRNE       L_main16
;stepper motor.c,29 :: 		m3=1;m1=m2=m4=0;
0x0190	0xB3B2    	IN         R27, PORTD+0
0x0192	0x60B2    	SBR        R27, 2
0x0194	0xBBB2    	OUT        PORTD+0, R27
0x0196	0xB3B2    	IN         R27, PORTD+0
0x0198	0x7FBB    	CBR        R27, 4
0x019A	0xBBB2    	OUT        PORTD+0, R27
0x019C	0xB3B2    	IN         R27, PORTD+0
0x019E	0xFBB2    	BST        R27, 2
0x01A0	0xB3B2    	IN         R27, PORTD+0
0x01A2	0xF9B3    	BLD        R27, 3
0x01A4	0xBBB2    	OUT        PORTD+0, R27
0x01A6	0xB3B2    	IN         R27, PORTD+0
0x01A8	0xFBB3    	BST        R27, 3
0x01AA	0xB3B2    	IN         R27, PORTD+0
0x01AC	0xF9B0    	BLD        R27, 0
0x01AE	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,30 :: 		delay_ms(1000);
0x01B0	0xE229    	LDI        R18, 41
0x01B2	0xE916    	LDI        R17, 150
0x01B4	0xE800    	LDI        R16, 128
L_main18:
0x01B6	0x950A    	DEC        R16
0x01B8	0xF7F1    	BRNE       L_main18
0x01BA	0x951A    	DEC        R17
0x01BC	0xF7E1    	BRNE       L_main18
0x01BE	0x952A    	DEC        R18
0x01C0	0xF7D1    	BRNE       L_main18
;stepper motor.c,31 :: 		m2=1;m1=m3=m4=0;
0x01C2	0xB3B2    	IN         R27, PORTD+0
0x01C4	0x60B8    	SBR        R27, 8
0x01C6	0xBBB2    	OUT        PORTD+0, R27
0x01C8	0xB3B2    	IN         R27, PORTD+0
0x01CA	0x7FBB    	CBR        R27, 4
0x01CC	0xBBB2    	OUT        PORTD+0, R27
0x01CE	0xB3B2    	IN         R27, PORTD+0
0x01D0	0xFBB2    	BST        R27, 2
0x01D2	0xB3B2    	IN         R27, PORTD+0
0x01D4	0xF9B1    	BLD        R27, 1
0x01D6	0xBBB2    	OUT        PORTD+0, R27
0x01D8	0xB3B2    	IN         R27, PORTD+0
0x01DA	0xFBB1    	BST        R27, 1
0x01DC	0xB3B2    	IN         R27, PORTD+0
0x01DE	0xF9B0    	BLD        R27, 0
0x01E0	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,32 :: 		delay_ms(1000);
0x01E2	0xE229    	LDI        R18, 41
0x01E4	0xE916    	LDI        R17, 150
0x01E6	0xE800    	LDI        R16, 128
L_main20:
0x01E8	0x950A    	DEC        R16
0x01EA	0xF7F1    	BRNE       L_main20
0x01EC	0x951A    	DEC        R17
0x01EE	0xF7E1    	BRNE       L_main20
0x01F0	0x952A    	DEC        R18
0x01F2	0xF7D1    	BRNE       L_main20
;stepper motor.c,33 :: 		m1=1;m2=m3=m4=0;
0x01F4	0xB3B2    	IN         R27, PORTD+0
0x01F6	0x60B1    	SBR        R27, 1
0x01F8	0xBBB2    	OUT        PORTD+0, R27
0x01FA	0xB3B2    	IN         R27, PORTD+0
0x01FC	0x7FBB    	CBR        R27, 4
0x01FE	0xBBB2    	OUT        PORTD+0, R27
0x0200	0xB3B2    	IN         R27, PORTD+0
0x0202	0xFBB2    	BST        R27, 2
0x0204	0xB3B2    	IN         R27, PORTD+0
0x0206	0xF9B1    	BLD        R27, 1
0x0208	0xBBB2    	OUT        PORTD+0, R27
0x020A	0xB3B2    	IN         R27, PORTD+0
0x020C	0xFBB1    	BST        R27, 1
0x020E	0xB3B2    	IN         R27, PORTD+0
0x0210	0xF9B3    	BLD        R27, 3
0x0212	0xBBB2    	OUT        PORTD+0, R27
;stepper motor.c,34 :: 		delay_ms(1000);
0x0214	0xE229    	LDI        R18, 41
0x0216	0xE916    	LDI        R17, 150
0x0218	0xE800    	LDI        R16, 128
L_main22:
0x021A	0x950A    	DEC        R16
0x021C	0xF7F1    	BRNE       L_main22
0x021E	0x951A    	DEC        R17
0x0220	0xF7E1    	BRNE       L_main22
0x0222	0x952A    	DEC        R18
0x0224	0xF7D1    	BRNE       L_main22
;stepper motor.c,25 :: 		for(i=0;i<12;i++)
0x0226	0x8108    	LDD        R16, Y+0
0x0228	0x5F0F    	SUBI       R16, 255
0x022A	0x8308    	STD        Y+0, R16
;stepper motor.c,35 :: 		}
0x022C	0xCF94    	RJMP       L_main13
L_main14:
;stepper motor.c,36 :: 		}
0x022E	0xCF23    	RJMP       L_main0
;stepper motor.c,37 :: 		}
L_end_main:
L__main_end_loop:
0x0230	0xCFFF    	RJMP       L__main_end_loop
; end of _main
___CC2DW:
;__Lib_System.c,25 :: 		
;__Lib_System.c,27 :: 		
L_loopDW:
;__Lib_System.c,28 :: 		
0x0054	0x9005    	LPM        R0, Z+
;__Lib_System.c,29 :: 		
0x0056	0x920D    	ST         X+, R0
;__Lib_System.c,30 :: 		
0x0058	0x9701    	SBIW       R24, 1
;__Lib_System.c,31 :: 		
0x005A	0xF7E1    	BRNE       L_loopDW
;__Lib_System.c,33 :: 		
L_end___CC2DW:
0x005C	0x9508    	RET
; end of ___CC2DW
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x002A       [5]    ___CC2DW
0x002F     [234]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    Delay_Cyc_loc_L0
0x0000       [1]    R0
0x0001       [1]    R1
0x0002       [1]    FARG_T6963C_fill_v
0x0002       [1]    FARG_T6963C_writeCommand_mydata
0x0002       [4]    FARG_T6963C_Write_Const_Text_str
0x0002       [4]    FARG_T6963C_image_pic
0x0002       [1]    FARG_T6963C_sprite_px
0x0002       [1]    FARG_SPI_Glcd_Rectangle_Round_Edges_Fill_x_upper_left
0x0002       [1]    FARG_T6963C_set_cursor_x
0x0002       [2]    FARG_T6963C_write_text_str
0x0002       [2]    FARG_T6963C_Circle_x_center
0x0002       [2]    FARG_SPI_Glcd_PartialImage_x_left
0x0002       [1]    FARG_T6963C_write_char_c
0x0002       [1]    FARG_T6963C_writeData_mydata
0x0002       [1]    FARG_SPI_Glcd_Write_Data_data_
0x0002       [2]    FARG_S1D13700_Rectangle_Round_Edges_Fill_x_upper_left
0x0002       [4]    FARG_T6963C_Set_Ext_Font_Adv_activeFont
0x0002       [2]    FARG___Lib_S1D13700_S1D13700_Move_Cursor__x
0x0002       [1]    FARG_SPI_Glcd_Fill_pattern
0x0002       [1]    FARG___Lib_T6963C__T6963C_Write_Char_Adv_ch
0x0002       [1]    FARG_SPI_Glcd_Set_Page_page
0x0002       [2]    FARG_S1D13700_Circle_x_center
0x0002       [1]    FARG_SPI_Glcd_Set_Side_x_pos
0x0002       [2]    FARG___Lib_S1D13700__S1D13700_Write_Char_Return_PosE_ch
0x0002       [1]    FARG_SPI_Glcd_Set_X_x_pos
0x0002       [4]    FARG_S1D13700_Write_Const_Text_Return_Pos_text
0x0002       [1]    FARG_SPI_Glcd_Write_Char_chr1
0x0002       [2]    FARG___Lib_S1D13700__S1D13700_Get_Char_WidthE_ch
0x0002       [2]    FARG_SPI_Glcd_Write_Text_text
0x0002       [2]    FARG_S1D13700_Rectangle_Round_Edges_x_upper_left
0x0002       [4]    FARG___Lib_T6963C__T6963C_getHeader_offset
0x0002       [4]    FARG_T6963C_Set_Font_Adv_activeFont
0x0002       [2]    FARG_S1D13700_Box_x0
0x0002       [1]    FARG_SPI_Glcd_Init_DeviceAddress
0x0002       [2]    FARG_S1D13700_Write_Text_Return_Pos_text
0x0002       [4]    FARG_SPI_Glcd_Set_Font_activeFont
0x0002       [2]    FARG___Lib_S1D13700__S1D13700_Write_Char_Return_Pos_ch
0x0002       [2]    FARG___Lib_T6963C__T6963C_Get_Char_Width_ch
0x0002       [2]    FARG_S1D13700_Write_Text_str
0x0002       [4]    FARG_S1D13700_Set_Font_Adv_activeFont
0x0002       [2]    FARG_T6963C_Ext_PartialImage_x_left
0x0002       [2]    FARG___Lib_T6963C__T6963C_Get_Char_WidthE_ch
0x0002       [1]    FARG_T6963C_Write_Char_Adv_ch
0x0002       [2]    FARG_T6963C_Write_Text_Adv_text
0x0002       [4]    FARG_S1D13700_Write_Const_Text_str
0x0002       [4]    FARG_T6963C_Write_Const_Text_Adv_text
0x0002       [4]    FARG_T6963C_Ext_Image_pic
0x0002       [4]    FARG___Lib_S1D13700__S1D13700_getHeader_offset
0x0002       [2]    FARG_S1D13700_PartialImage_x_left
0x0002       [2]    FARG___Lib_S1D13700__S1D13700_Write_Char_AdvE_ch
0x0002       [4]    FARG_S1D13700_Image_pic
0x0002       [2]    FARG___Lib_T6963C__T6963C_Write_Char_AdvE_ch
0x0002       [2]    FARG_S1D13700_Circle_Fill_x_center
0x0002       [2]    FARG___Lib_T6963C_T6963C_Move_Cursor__x
0x0002       [4]    FARG_S1D13700_Set_Ext_Font_Adv_activeFont
0x0002       [1]    FARG_S1D13700_Write_Char_c
0x0002       [4]    FARG_T6963C_Write_Const_Text_Return_Pos_text
0x0002       [2]    FARG_T6963C_Write_Text_Return_Pos_text
0x0002       [1]    FARG___Lib_S1D13700__S1D13700_Write_Char_Adv_ch
0x0002       [1]    FARG_S1D13700_TxtFill_d
0x0002       [2]    FARG_T6963C_dot_x
0x0002       [2]    FARG_T6963C_setPtr_p
0x0002       [4]    FARG_SPI_Glcd_Image_image
0x0002       [1]    FARG_S1D13700_GrFill_d
0x0002       [1]    FARG_S1D13700_Display_GrLayer_mode
0x0002       [1]    FARG_S1D13700_Set_Cursor_width
0x0002       [1]    FARG_S1D13700_Display_Cursor_mode
0x0002       [2]    FARG_T6963C_PartialImage_x_left
0x0002       [2]    FARG_T6963C_init_width
0x0002       [1]    FARG_S1D13700_Display_TxtLayer_mode
0x0002       [2]    FARG_T6963C_box_x0
0x0002       [2]    FARG_T6963C_rectangle_x0
0x0002       [1]    FARG_SPI_Glcd_Box_x_upper_left
0x0002       [1]    FARG_SPI_Glcd_Rectangle_Round_Edges_x_upper_left
0x0002       [2]    FARG_T6963C_Set_Ext_Buffer_getExtDataPtr
0x0002       [2]    FARG_T6963C_line_x0
0x0002       [1]    FARG_S1D13700_Write_Parameter_parameter
0x0002       [1]    FARG_S1D13700_Fill_d
0x0002       [1]    FARG_SPI_Glcd_Rectangle_x_upper_left
0x0002       [2]    FARG_S1D13700_Set_Ext_Buffer_getExtDataPtr
0x0002       [1]    FARG_S1D13700_Write_Command_command
0x0002       [2]    FARG_SPI_Glcd_Circle_Fill_x_center
0x0002       [2]    FARG_S1D13700_V_Line_y_start
0x0002       [1]    FARG_SPI_Glcd_Dot_x_pos
0x0002       [2]    FARG_SPI_Glcd_Line_x_start
0x0002       [4]    FARG_S1D13700_Write_Const_Text_Adv_text
0x0002       [2]    FARG_S1D13700_H_Line_x_start
0x0002       [2]    FARG_S1D13700_Write_Text_Adv_text
0x0002       [2]    FARG___Lib_S1D13700__S1D13700_Get_Char_Width_ch
0x0002       [2]    FARG_T6963C_Circle_Fill_x_center
0x0002       [1]    FARG_S1D13700_Write_Char_Adv_ch
0x0002       [2]    FARG_S1D13700_Rectangle_x0
0x0002       [4]    FARG_SPI_Glcd_Write_Const_Text_ctext
0x0002       [2]    FARG_SPI_Glcd_Circle_x_center
0x0002       [1]    FARG_SPI_Glcd_V_Line_y_start
0x0002       [2]    FARG_S1D13700_Dot_x
0x0002       [1]    FARG___Lib_S1D13700_S1D13700_Set_Overlay_ovl
0x0002       [2]    FARG_S1D13700_Init_width
0x0002       [2]    FARG_T6963C_Rectangle_Round_Edges_x_upper_left
0x0002       [1]    FARG_SPI_Glcd_H_Line_x_start
0x0002       [2]    FARG_T6963C_Rectangle_Round_Edges_Fill_x_upper_left
0x0002       [4]    FARG_S1D13700_Ext_Image_pic
0x0002       [2]    FARG_S1D13700_Ext_PartialImage_x_left
0x0002       [2]    FARG_S1D13700_Line_x0
0x0002       [4]    FARG_atan2_y
0x0002       [4]    FARG_sin_f
0x0002       [4]    FARG_acos_x
0x0002       [4]    FARG_asin_x
0x0002       [1]    FARG___Lib_CANSPI_CANSPIIDToRegs_ptr
0x0002       [4]    FARG_cos_f
0x0002       [4]    FARG_log10_x
0x0002       [4]    FARG_pow_x
0x0002       [4]    FARG_log_x
0x0002       [4]    FARG_tan_x
0x0002       [4]    FARG_exp_x
0x0002       [4]    FARG_sqrt_x
0x0002       [1]    FARG___Lib_CANSPI_RegsToCANSPIID_ptr
0x0002       [4]    FARG_CANSPIWrite_id
0x0002       [2]    FARG_CANSPIRead_id
0x0002       [4]    FARG_modf_val
0x0002       [1]    FARG_CANSPISetFilter_CANSPI_FILTER
0x0002       [1]    FARG_CANSPISetBaudRate_SJW
0x0002       [1]    FARG_CANSPISetOperationMode_mode
0x0002       [2]    FARG_SPI_T6963C_Circle_Fill_x_center
0x0002       [1]    FARG_CANSPISetMask_CANSPI_MASK
0x0002       [4]    FARG_atan_f
0x0002       [4]    FARG___Lib_SPIT6963C__SPI_T6963C_getHeader_offset
0x0002       [2]    FARG_Malloc_Size
0x0002       [1]    FARG_Expander_Write_PortA_ModuleAddress
0x0002       [1]    FARG_Expander_Write_PortB_ModuleAddress
0x0002       [1]    FARG_Expander_Set_DirectionPortA_ModuleAddress
0x0002       [1]    FARG_Expander_Write_PortAB_ModuleAddress
0x0002       [1]    FARG_Expander_Read_PortAB_ModuleAddress
0x0002       [4]    FARG_SPI_T6963C_Set_Ext_Font_Adv_activeFont
0x0002       [1]    FARG_Expander_Write_Byte_ModuleAddress
0x0002       [1]    FARG_Expander_Read_PortA_ModuleAddress
0x0002       [2]    FARG_Free_P
0x0002       [1]    FARG_Expander_Read_PortB_ModuleAddress
0x0002       [2]    FARG___Lib_MemManager_MM_CheckBlocks_P1
0x0002       [4]    FARG_SPI_T6963C_Set_Font_Adv_activeFont
0x0002       [4]    FARG_tanh_x
0x0002       [4]    FARG_sinh_x
0x0002       [4]    FARG_cosh_x
0x0002       [1]    FARG_Expander_Set_PullUpsPortAB_ModuleAddress
0x0002       [1]    FARG_Expander_Set_DirectionPortB_ModuleAddress
0x0002       [2]    FARG___Lib_MemManager_MM_GetMemAlign_Size
0x0002       [1]    FARG_Expander_Set_DirectionPortAB_ModuleAddress
0x0002       [1]    FARG_Expander_Set_PullUpsPortB_ModuleAddress
0x0002       [1]    FARG_Expander_Set_PullUpsPortA_ModuleAddress
0x0002       [2]    FARG_strstr_s1
0x0002       [2]    FARG_SPI_T6963C_PartialImage_x_left
0x0002       [2]    FARG_strrchr_ptr
0x0002       [2]    FARG_SPI_T6963C_Config_width
0x0002       [2]    FARG_strpbrk_s1
0x0002       [2]    FARG_abs_a
0x0002       [2]    FARG_atol_s
0x0002       [2]    FARG_div_number
0x0002       [2]    FARG_atoi_s
0x0002       [2]    FARG___Lib_CStdlib_strtod_s
0x0002       [2]    FARG_atof_s
0x0002       [2]    FARG_SPI_T6963C_rectangle_x0
0x0002       [1]    FARG_Glcd_Fill_pattern
0x0002       [2]    FARG_strcspn_s1
0x0002       [2]    FARG_SPI_T6963C_box_x0
0x0002       [4]    FARG_Glcd_Set_Font_activeFont
0x0002       [1]    FARG_Glcd_Write_Data_ddata
0x0002       [1]    FARG_Glcd_Set_Page_page
0x0002       [2]    FARG_strncmp_s1
0x0002       [1]    FARG_Glcd_Set_Side_x_pos
0x0002       [2]    FARG_strtok_s1
0x0002       [1]    FARG_Glcd_Set_X_x_pos
0x0002       [4]    FARG_ldiv_number
0x0002       [4]    FARG_floor_x
0x0002       [4]    FARG_ceil_x
0x0002       [4]    FARG_fabs_d
0x0002       [2]    FARG___Lib_CF_Cf_Write_Word_data_
0x0002       [1]    FARG_Cf_Write_Byte_data_
0x0002       [4]    FARG_frexp_value
0x0002       [4]    FARG___Lib_CMath_eval_poly_x
0x0002       [2]    FARG_SPI_T6963C_Rectangle_Round_Edges_Fill_x_upper_left
0x0002       [1]    FARG_CANSPIInitialize_SJW
0x0002       [4]    FARG_ldexp_value
0x0002       [2]    FARG_SPI_T6963C_Rectangle_Round_Edges_x_upper_left
0x0002       [4]    FARG_Cf_Read_Sector_sector_number
0x0002       [1]    FARG___Lib_CF_Cf_Set_Reg_Adr_adr
0x0002       [4]    FARG_labs_x
0x0002       [4]    FARG_uldiv_number
0x0002       [4]    FARG_Cf_Write_Sector_sector_number
0x0002       [2]    FARG_max_a
0x0002       [2]    FARG_xtoi_s
0x0002       [4]    FARG_Cf_Write_Init_address
0x0002       [2]    FARG_srand_x
0x0002       [4]    FARG_Cf_Read_Init_address
0x0002       [2]    FARG_min_a
0x0002       [1]    FARG_Bcd2Dec_bcdnum
0x0002       [2]    FARG_Bcd2Dec16_bcdnum
0x0002       [2]    FARG_EEPROM_Write_address
0x0002       [1]    FARG_Dec2Bcd_decnum
0x0002       [2]    FARG_EEPROM_Read_address
0x0002       [2]    FARG_Dec2Bcd16_decnum
0x0002       [1]    FARG_Soft_UART_Write_udata
0x0002       [2]    FARG_Ltrim_string
0x0002       [2]    FARG_Rtrim_string
0x0002       [1]    R2
0x0002       [2]    FARG_Soft_UART_Init_port
0x0002       [4]    FARG_SPI_T6963C_Write_Const_Text_Adv_text
0x0002       [2]    FARG_FLASH_Read_Bytes_address
0x0002       [2]    FARG_SPI_T6963C_Write_Text_Adv_text
0x0002       [2]    FARG_FLASH_Read_Word_address
0x0002       [4]    FARG_LongIntToStrWithZeros_input
0x0002       [4]    FARG_SPI_T6963C_Ext_Image_pic
0x0002       [2]    FARG_FLASH_Erase_Page_address
0x0002       [1]    FARG___Lib_FLASH_rwe_FLASH_DoWrite_opCode
0x0002       [2]    FARG_FLASH_Write_Page_address
0x0002       [2]    FARG_FLASH_Read_Byte_address
0x0002       [2]    FARG_SPI_T6963C_Ext_PartialImage_x_left
0x0002       [2]    FARG_Soft_UART_Read_error
0x0002       [1]    FARG___Lib_PS2_Ps2_Get_Value_raw
0x0002       [2]    FARG___Lib_PS2_Get_Hex_ddata
0x0002       [2]    FARG_Ps2_Key_Read_value
0x0002       [2]    FARG_cosE3_angle_deg
0x0002       [2]    FARG_Button_port
0x0002       [2]    FARG_Man_Receive_error
0x0002       [2]    FARG_Ow_Write_port
0x0002       [2]    FARG_Ow_Read_port
0x0002       [2]    FARG_Ow_Reset_port
0x0002       [1]    FARG_Manchester_Out_BitValue
0x0002       [1]    FARG_Man_Send_tr_data
0x0002       [1]    FARG_Soft_SPI_Write_sdata
0x0002       [4]    FARG_Time_epochToDate_e
0x0002       [1]    FARG_Soft_SPI_Read_sdata
0x0002       [4]    FARG_FloatToStr_fnum
